No,Name,Team,G,PA,AB,R,H,1B,2B,3B,HR,RBI,HBP,BB,SO,SacB,SacF,SB,CS,AVG,OBP,SLG,OPS
11,Cody Baylor,Bootleggers,12,32,25,2,1,1,0,0,0,1,2,4,13,0,1,2,0,0.040,0.219,0.040,0.259
25,Cody Benner,LumberJacks,14,28,22,1,2,2,0,0,0,3,2,4,6,0,0,0,0,0.091,0.286,0.091,0.377
19,Cole Fowler,Bombers,13,28,21,5,5,2,2,1,0,6,3,4,8,0,0,3,0,0.238,0.429,0.429,0.857
9,Cole Savage,NorthStars,18,53,42,10,14,11,2,1,0,5,0,11,3,0,0,1,0,0.333,0.472,0.429,0.900
25,Colten Reese,Rush,8,17,14,2,3,3,0,0,0,3,1,2,10,0,0,1,1,0.214,0.353,0.214,0.567
3,Connor Frye,Blue Sox,18,42,35,10,7,6,1,0,0,2,3,4,8,0,0,1,0,0.200,0.333,0.229,0.562
27,Connor Spindler,Bootleggers,13,36,29,2,7,6,1,0,0,6,2,3,11,0,2,1,0,0.241,0.333,0.276,0.609
17,Cristian Angulo,NorthStars,7,21,18,4,4,2,0,2,0,5,0,1,3,0,2,0,0,0.222,0.238,0.444,0.683
5,Dalton Irwin,Bombers,14,36,32,3,3,3,0,0,0,0,2,2,7,0,0,0,1,0.094,0.194,0.094,0.288
18,Daniel Vendyl,Bombers,11,30,25,2,7,3,4,0,0,3,0,5,7,0,0,0,0,0.280,0.400,0.440,0.840
5,Danny Martinez,NorthStars,19,58,47,13,14,13,1,0,0,8,6,5,5,0,0,3,1,0.298,0.431,0.319,0.750
12,David Orozco,Rush,13,29,24,5,5,5,0,0,0,3,0,5,6,0,0,0,0,0.208,0.345,0.208,0.553
20,Dayton Anderson,Bombers,14,37,32,6,10,7,2,0,1,9,1,4,9,0,0,1,1,0.312,0.405,0.469,0.874
25,Dean Samuel,NorthStars,19,48,41,4,8,7,1,0,0,4,1,4,4,0,2,0,0,0.195,0.271,0.220,0.490
13,Diego Ruiz,Chill,17,43,32,5,5,3,2,0,0,1,3,8,13,0,0,2,1,0.156,0.372,0.219,0.591
1,Dillon Damico,Bootleggers,9,18,16,2,1,1,0,0,0,0,0,2,9,0,0,0,0,0.062,0.167,0.062,0.229
18,Drew Griffin,LumberJacks,17,37,32,8,9,6,2,1,0,4,1,4,6,0,0,0,0,0.281,0.378,0.406,0.785
13,Dylan Garcia,Bombers,12,26,17,3,2,2,0,0,0,0,3,6,6,0,0,2,1,0.118,0.423,0.118,0.541
18,Dylan O'Hair,Green Dragons,18,32,21,7,2,0,2,0,0,2,4,7,10,0,0,0,0,0.095,0.406,0.190,0.597
6,Elijah Real,Rush,13,30,25,2,6,4,1,1,0,0,1,4,12,0,0,1,0,0.240,0.367,0.360,0.727
44,Enrique Saucedo,NorthStars,14,39,32,5,4,4,0,0,0,6,0,7,16,0,0,0,0,0.125,0.282,0.125,0.407
2,Eric Logsdon,Chill,17,45,38,4,15,13,1,1,0,7,0,6,7,0,1,5,3,0.395,0.467,0.474,0.940
8,Erik Polanco,LumberJacks,18,38,30,11,11,7,4,0,0,7,4,4,12,0,0,3,1,0.367,0.500,0.500,1.000
19,Ethan Hopkins,NorthStars,10,28,25,4,6,5,1,0,0,2,1,2,9,0,0,1,0,0.240,0.321,0.280,0.601
24,Ethan Jackson,Chill,10,25,22,1,3,1,1,1,0,2,1,2,9,0,0,0,0,0.136,0.240,0.273,0.513
7,Everett Cord,Green Dragons,18,43,39,6,8,7,1,0,0,3,2,2,9,0,0,6,0,0.205,0.279,0.231,0.510
3,Frank Kula,A's,19,49,44,10,18,13,5,0,0,5,0,5,13,0,0,3,2,0.409,0.469,0.523,0.992
22,Garren Gledhill,Bootleggers,13,36,29,4,10,8,1,1,0,7,1,6,9,0,0,0,0,0.345,0.472,0.448,0.920
23,Gavin Partch,Blue Sox,14,27,19,2,5,3,1,1,0,5,1,6,6,0,1,0,1,0.263,0.444,0.421,0.865
1,Gino Hutchinson,Coyotes,18,50,44,13,16,9,6,1,0,7,2,4,5,0,0,14,3,0.364,0.440,0.545,0.985
11,Griffin Binkley,A's,1,5,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.200,0.200,0.200,0.400
2,Hayata Lee,Green Dragons,14,23,19,3,4,4,0,0,0,1,1,3,5,0,0,2,0,0.211,0.348,0.211,0.558
17,Ian McCracken,A's,18,43,33,7,6,4,2,0,0,6,2,6,8,0,2,1,1,0.182,0.326,0.242,0.568
14,Isaac Vargas,Rush,12,28,23,1,1,1,0,0,0,1,1,4,20,0,0,0,0,0.043,0.214,0.043,0.258
14,Isaiah Nunez,Coyotes,13,36,30,3,6,6,0,0,0,1,1,5,8,0,0,0,1,0.200,0.333,0.200,0.533
18,Issac Rodas,Bootleggers,12,29,25,0,1,1,0,0,0,1,0,3,14,0,1,0,0,0.040,0.138,0.040,0.178
21,Issac Ypina,Green Dragons,17,31,27,3,5,5,0,0,0,1,0,4,8,0,0,0,0,0.185,0.290,0.185,0.476
30,J. Diaz,Coyotes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000
17,Jace Dominic,Bootleggers,8,23,21,3,8,4,4,0,0,3,1,1,4,0,0,0,1,0.381,0.435,0.571,1.006
22,Jack Rose,Blue Sox,15,32,26,2,4,3,0,1,0,3,2,4,9,0,0,0,0,0.154,0.312,0.231,0.543
15,Jackson Gifford,Bootleggers,13,41,37,5,14,11,2,1,0,6,2,1,15,0,1,0,1,0.378,0.415,0.486,0.901
22,Jackson Toms,Coyotes,13,34,26,5,5,5,0,0,0,3,2,6,10,0,0,4,0,0.192,0.382,0.192,0.575
